dteday,holiday,workingday,weathersit,temp,casual,registered,cnt,temp_celsius,temp_cluster
2011-01-01,0,0,2,0.344167,331,654,985,14.110847,Low
2011-01-02,0,0,2,0.363478,131,670,801,14.902598000000001,Low
2011-01-03,0,1,1,0.196364,120,1229,1349,8.050924,Low
2011-01-04,0,1,1,0.2,108,1454,1562,8.200000000000001,Low
2011-01-05,0,1,1,0.226957,82,1518,1600,9.305237,Low
2011-01-06,0,1,1,0.204348,88,1518,1606,8.378268,Low
2011-01-07,0,1,2,0.196522,148,1362,1510,8.057402,Low
2011-01-08,0,0,2,0.165,68,891,959,6.765000000000001,Low
2011-01-09,0,0,1,0.138333,54,768,822,5.671653,Low
2011-01-10,0,1,1,0.150833,41,1280,1321,6.184153,Low
2011-01-11,0,1,2,0.169091,43,1220,1263,6.9327309999999995,Low
2011-01-12,0,1,1,0.172727,25,1137,1162,7.0818069999999995,Low
2011-01-13,0,1,1,0.165,38,1368,1406,6.765000000000001,Low
2011-01-14,0,1,1,0.16087,54,1367,1421,6.59567,Low
2011-01-15,0,0,2,0.233333,222,1026,1248,9.566653,Low
2011-01-16,0,0,1,0.231667,251,953,1204,9.498347,Low
2011-01-17,1,0,2,0.175833,117,883,1000,7.209153,Low
2011-01-18,0,1,2,0.216667,9,674,683,8.883347,Low
2011-01-19,0,1,2,0.292174,78,1572,1650,11.979134,Low
2011-01-20,0,1,2,0.261667,83,1844,1927,10.728347,Low
2011-01-21,0,1,1,0.1775,75,1468,1543,7.2775,Low
2011-01-22,0,0,1,0.0591304,93,888,981,2.4243464,Low
2011-01-23,0,0,1,0.0965217,150,836,986,3.9573897000000002,Low
2011-01-24,0,1,1,0.0973913,86,1330,1416,3.9930433,Low
2011-01-25,0,1,2,0.223478,186,1799,1985,9.162598000000001,Low
2011-01-26,0,1,3,0.2175,34,472,506,8.9175,Low
2011-01-27,0,1,1,0.195,15,416,431,7.995,Low
2011-01-28,0,1,2,0.203478,38,1129,1167,8.342597999999999,Low
2011-01-29,0,0,1,0.196522,123,975,1098,8.057402,Low
2011-01-30,0,0,1,0.216522,140,956,1096,8.877402,Low
2011-01-31,0,1,2,0.180833,42,1459,1501,7.414153,Low
2011-02-01,0,1,2,0.192174,47,1313,1360,7.8791340000000005,Low
2011-02-02,0,1,2,0.26,72,1454,1526,10.66,Low
2011-02-03,0,1,1,0.186957,61,1489,1550,7.665237,Low
2011-02-04,0,1,2,0.211304,88,1620,1708,8.663464,Low
2011-02-05,0,0,2,0.233333,100,905,1005,9.566653,Low
2011-02-06,0,0,1,0.285833,354,1269,1623,11.719153,Low
2011-02-07,0,1,1,0.271667,120,1592,1712,11.138347,Low
2011-02-08,0,1,1,0.220833,64,1466,1530,9.054153,Low
2011-02-09,0,1,2,0.134783,53,1552,1605,5.526102999999999,Low
2011-02-10,0,1,1,0.144348,47,1491,1538,5.918268,Low
2011-02-11,0,1,1,0.189091,149,1597,1746,7.752731000000001,Low
2011-02-12,0,0,1,0.2225,288,1184,1472,9.1225,Low
2011-02-13,0,0,1,0.316522,397,1192,1589,12.977402000000001,Low
2011-02-14,0,1,1,0.415,208,1705,1913,17.015,Medium
2011-02-15,0,1,1,0.266087,140,1675,1815,10.909567000000001,Low
2011-02-16,0,1,1,0.318261,218,1897,2115,13.048701000000001,Low
2011-02-17,0,1,1,0.435833,259,2216,2475,17.869153,Medium
2011-02-18,0,1,1,0.521667,579,2348,2927,21.388347,Medium
2011-02-19,0,0,1,0.399167,532,1103,1635,16.365847,Medium
2011-02-20,0,0,1,0.285217,639,1173,1812,11.693897,Low
2011-02-21,1,0,2,0.303333,195,912,1107,12.436653000000002,Low
2011-02-22,0,1,1,0.182222,74,1376,1450,7.471102,Low
2011-02-23,0,1,1,0.221739,139,1778,1917,9.091299,Low
2011-02-24,0,1,2,0.295652,100,1707,1807,12.121732000000002,Low
2011-02-25,0,1,2,0.364348,120,1341,1461,14.938268,Low
2011-02-26,0,0,1,0.2825,424,1545,1969,11.5825,Low
2011-02-27,0,0,1,0.343478,694,1708,2402,14.082598,Low
2011-02-28,0,1,2,0.407273,81,1365,1446,16.698193,Medium
2011-03-01,0,1,1,0.266667,137,1714,1851,10.933347,Low
2011-03-02,0,1,1,0.335,231,1903,2134,13.735000000000001,Low
2011-03-03,0,1,1,0.198333,123,1562,1685,8.131653,Low
2011-03-04,0,1,2,0.261667,214,1730,1944,10.728347,Low
2011-03-05,0,0,2,0.384167,640,1437,2077,15.750846999999998,Medium
2011-03-06,0,0,2,0.376522,114,491,605,15.437402,Medium
2011-03-07,0,1,1,0.261739,244,1628,1872,10.731299,Low
2011-03-08,0,1,1,0.2925,316,1817,2133,11.9925,Low
2011-03-09,0,1,2,0.295833,191,1700,1891,12.129153,Low
2011-03-10,0,1,3,0.389091,46,577,623,15.952731,Medium
2011-03-11,0,1,2,0.316522,247,1730,1977,12.977402000000001,Low
2011-03-12,0,0,1,0.329167,724,1408,2132,13.495847,Low
2011-03-13,0,0,1,0.384348,982,1435,2417,15.758268000000001,Medium
2011-03-14,0,1,1,0.325217,359,1687,2046,13.333896999999999,Low
2011-03-15,0,1,2,0.317391,289,1767,2056,13.013031,Low
2011-03-16,0,1,2,0.365217,321,1871,2192,14.973897000000001,Low
2011-03-17,0,1,1,0.415,424,2320,2744,17.015,Medium
2011-03-18,0,1,1,0.54,884,2355,3239,22.14,Medium
2011-03-19,0,0,1,0.4725,1424,1693,3117,19.3725,Medium
2011-03-20,0,0,1,0.3325,1047,1424,2471,13.6325,Low
2011-03-21,0,1,2,0.430435,401,1676,2077,17.647835,Medium
2011-03-22,0,1,1,0.441667,460,2243,2703,18.108347,Medium
2011-03-23,0,1,2,0.346957,203,1918,2121,14.225237,Low
2011-03-24,0,1,2,0.285,166,1699,1865,11.684999999999999,Low
2011-03-25,0,1,1,0.264167,300,1910,2210,10.830846999999999,Low
2011-03-26,0,0,1,0.265833,981,1515,2496,10.899153,Low
2011-03-27,0,0,2,0.253043,472,1221,1693,10.374763000000002,Low
2011-03-28,0,1,1,0.264348,222,1806,2028,10.838268000000001,Low
2011-03-29,0,1,1,0.3025,317,2108,2425,12.4025,Low
2011-03-30,0,1,2,0.3,168,1368,1536,12.299999999999999,Low
2011-03-31,0,1,3,0.268333,179,1506,1685,11.001653,Low
2011-04-01,0,1,2,0.3,307,1920,2227,12.299999999999999,Low
2011-04-02,0,0,2,0.315,898,1354,2252,12.915000000000001,Low
2011-04-03,0,0,1,0.378333,1651,1598,3249,15.511652999999999,Medium
2011-04-04,0,1,1,0.573333,734,2381,3115,23.506653,Medium
2011-04-05,0,1,2,0.414167,167,1628,1795,16.980847,Medium
2011-04-06,0,1,1,0.390833,413,2395,2808,16.024153,Medium
2011-04-07,0,1,1,0.4375,571,2570,3141,17.9375,Medium
2011-04-08,0,1,2,0.335833,172,1299,1471,13.769153,Low
2011-04-09,0,0,2,0.3425,879,1576,2455,14.0425,Low
2011-04-10,0,0,2,0.426667,1188,1707,2895,17.493347,Medium
2011-04-11,0,1,2,0.595652,855,2493,3348,24.421732,Medium
2011-04-12,0,1,2,0.5025,257,1777,2034,20.6025,Medium
2011-04-13,0,1,2,0.4125,209,1953,2162,16.912499999999998,Medium
2011-04-14,0,1,1,0.4675,529,2738,3267,19.1675,Medium
2011-04-15,1,0,1,0.446667,642,2484,3126,18.313347,Medium
2011-04-16,0,0,3,0.430833,121,674,795,17.664153000000002,Medium
2011-04-17,0,0,1,0.456667,1558,2186,3744,18.723347,Medium
2011-04-18,0,1,1,0.5125,669,2760,3429,21.0125,Medium
2011-04-19,0,1,2,0.505833,409,2795,3204,20.739152999999998,Medium
2011-04-20,0,1,1,0.595,613,3331,3944,24.395,Medium
2011-04-21,0,1,1,0.459167,745,3444,4189,18.825847,Medium
2011-04-22,0,1,2,0.336667,177,1506,1683,13.803347,Low
2011-04-23,0,0,2,0.46,1462,2574,4036,18.86,Medium
2011-04-24,0,0,2,0.581667,1710,2481,4191,23.848347,Medium
2011-04-25,0,1,1,0.606667,773,3300,4073,24.873347,Medium
2011-04-26,0,1,1,0.631667,678,3722,4400,25.898346999999998,Medium
2011-04-27,0,1,2,0.62,547,3325,3872,25.419999999999998,Medium
2011-04-28,0,1,2,0.6175,569,3489,4058,25.317500000000003,Medium
2011-04-29,0,1,1,0.51,878,3717,4595,20.91,Medium
2011-04-30,0,0,1,0.4725,1965,3347,5312,19.3725,Medium
2011-05-01,0,0,2,0.451667,1138,2213,3351,18.518347,Medium
2011-05-02,0,1,2,0.549167,847,3554,4401,22.515846999999997,Medium
2011-05-03,0,1,2,0.616667,603,3848,4451,25.283347,Medium
2011-05-04,0,1,2,0.414167,255,2378,2633,16.980847,Medium
2011-05-05,0,1,1,0.459167,614,3819,4433,18.825847,Medium
